Company_Name,Dependent.Company.Status,Number.of.Co.founders,Number.of.of.advisors,Team.size.Senior.leadership,Number.of.of.repeat.investors,Average.size.of.companies.worked.for.in.the.past,Product.or.service.company.,Focus.on.private.or.public.data.,Cloud.or.platform.based.serive.product.,Local.or.global.player,Worked.in.top.companies,Focus.on.consumer.data.,Crowdfunding.based.business,Machine.Learning.based.business
COMPANY21,SUCCESS,2,0,5,0,MEDIUM,BOTH,PRIVATE,CLOUD,GLOBAL,YES,YES,NO,YES
COMPANY22,SUCCESS,2,0,4,0,MEDIUM,BOTH,PUBLIC,PLATFORM,GLOBAL,NO,NO,NO,YES
COMPANY23,SUCCESS,3,8,3,2,MEDIUM,SERVICE,PRIVATE,PLATFORM,GLOBAL,YES,YES,NO,NO
COMPANY24,SUCCESS,2,6,5,4,SMALL,SERVICE,BOTH,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY25,SUCCESS,2,0,2,0,SMALL,SERVICE,PUBLIC,PLATFORM,LOCAL,NO,NO,NO,YES
COMPANY26,SUCCESS,2,1,3,0,SMALL,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY27,SUCCESS,3,0,3,0,MEDIUM,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY28,SUCCESS,1,0,1,0,SMALL,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,NO,NO,YES
COMPANY29,SUCCESS,2,8,10,2,MEDIUM,SERVICE,PRIVATE,PLATFORM,LOCAL,NO,NO,NO,YES
COMPANY30,SUCCESS,2,0,2,0,SMALL,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY31,SUCCESS,4,0,4,0,SMALL,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY32,SUCCESS,2,0,7,3,LARGE,SERVICE,PRIVATE,PLATFORM,LOCAL,YES,NO,NO,YES
COMPANY33,SUCCESS,3,2,5,3,SMALL,PRODUCT,BOTH,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY34,SUCCESS,3,0,4,0,MEDIUM,SERVICE,BOTH,PLATFORM,GLOBAL,NO,NO,NO,YES
COMPANY35,SUCCESS,1,0,6,1,MEDIUM,PRODUCT,PRIVATE,PLATFORM,GLOBAL,NO,NO,NO,YES
COMPANY36,SUCCESS,2,6,4,0,MEDIUM,SERVICE,PUBLIC,PLATFORM,GLOBAL,NO,YES,NO,YES
COMPANY37,SUCCESS,4,4,4,2,MEDIUM,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY38,SUCCESS,2,3,2,1,SMALL,PRODUCT,PRIVATE,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY39,SUCCESS,2,0,4,4,MEDIUM,SERVICE,PRIVATE,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY40,SUCCESS,5,0,5,0,SMALL,SERVICE,PUBLIC,PLATFORM,GLOBAL,YES,YES,NO,NO
COMPANY41,SUCCESS,2,1,2,0,SMALL,SERVICE,PRIVATE,PLATFORM,LOCAL,NO,NO,NO,YES
COMPANY42,SUCCESS,2,9,3,0,SMALL,PRODUCT,PRIVATE,CLOUD,LOCAL,NO,YES,NO,YES
COMPANY43,SUCCESS,0,8,3,0,MEDIUM,SERVICE,PUBLIC,PLATFORM,GLOBAL,NO,NO,NO,YES
COMPANY44,SUCCESS,3,0,6,1,SMALL,PRODUCT,PRIVATE,CLOUD,GLOBAL,NO,YES,NO,NO
COMPANY45,SUCCESS,2,3,4,3,LARGE,PRODUCT,PUBLIC,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY46,SUCCESS,4,10,6,0,SMALL,PRODUCT,PRIVATE,CLOUD,GLOBAL,NO,YES,NO,NO
COMPANY47,SUCCESS,2,2,2,0,MEDIUM,PRODUCT,PRIVATE,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY48,SUCCESS,2,13,14,0,MEDIUM,PRODUCT,PRIVATE,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY49,SUCCESS,2,0,9,0,LARGE,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY50,FAILED,2,0,2,3,SMALL,PRODUCT,PRIVATE,CLOUD,LOCAL,YES,YES,NO,YES
COMPANY51,SUCCESS,2,1,3,2,MEDIUM,SERVICE,BOTH,CLOUD,GLOBAL,NO,NO,NO,NO
COMPANY52,SUCCESS,2,2,4,3,LARGE,BOTH,PRIVATE,PLATFORM,GLOBAL,YES,YES,NO,YES
COMPANY53,SUCCESS,3,5,7,4,LARGE,BOTH,PRIVATE,CLOUD,GLOBAL,NO,NO,NO,YES
COMPANY54,SUCCESS,4,3,8,5,MEDIUM,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,NO,NO,YES
COMPANY55,SUCCESS,1,3,4,2,MEDIUM,SERVICE,BOTH,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY56,SUCCESS,2,2,3,1,MEDIUM,SERVICE,PRIVATE,CLOUD,GLOBAL,NO,NO,NO,NO
COMPANY57,SUCCESS,2,2,3,0,LARGE,PRODUCT,NO,PLATFORM,LOCAL,YES,NO,NO,NO
COMPANY58,SUCCESS,2,2,4,0,SMALL,PRODUCT,BOTH,PLATFORM,GLOBAL,YES,YES,NO,NO
COMPANY59,SUCCESS,2,0,2,0,SMALL,PRODUCT,BOTH,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY60,SUCCESS,2,0,2,0,MEDIUM,PRODUCT,NO,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY61,SUCCESS,2,0,2,2,LARGE,PRODUCT,BOTH,PLATFORM,GLOBAL,YES,NO,NO,NO
COMPANY62,SUCCESS,2,1,4,0,SMALL,SERVICE,BOTH,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY63,SUCCESS,2,1,2,0,LARGE,SERVICE,NO,NONE,LOCAL,NO,NO,NO,NO
COMPANY64,SUCCESS,2,0,2,0,SMALL,PRODUCT,NO,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY65,SUCCESS,2,0,2,0,LARGE,PRODUCT,NO,NONE,LOCAL,NO,NO,NO,NO
COMPANY66,SUCCESS,2,0,1,0,SMALL,SERVICE,NO,NONE,GLOBAL,NO,NO,NO,NO
COMPANY67,SUCCESS,4,1,5,0,SMALL,SERVICE,NO,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY68,SUCCESS,2,0,2,0,MEDIUM,SERVICE,NO,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY69,SUCCESS,2,0,2,0,SMALL,PRODUCT,NO,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY70,SUCCESS,4,0,4,0,SMALL,PRODUCT,BOTH,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY71,SUCCESS,3,0,5,0,SMALL,SERVICE,NO,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY72,SUCCESS,0,0,3,0,MEDIUM,PRODUCT,BOTH,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY73,SUCCESS,3,0,3,0,LARGE,PRODUCT,BOTH,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY74,SUCCESS,2,0,3,0,LARGE,PRODUCT,NO,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY75,SUCCESS,2,0,3,0,SMALL,SERVICE,BOTH,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY76,SUCCESS,2,0,5,0,SMALL,PRODUCT,NO,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY77,SUCCESS,2,0,2,1,LARGE,SERVICE,PUBLIC,BOTH,LOCAL,NO,NO,NO,NO
COMPANY78,SUCCESS,4,0,3,0,LARGE,SERVICE,PUBLIC,BOTH,GLOBAL,NO,YES,NO,YES
COMPANY79,SUCCESS,3,0,3,0,MEDIUM,SERVICE,PUBLIC,NONE,GLOBAL,NO,YES,YES,YES
COMPANY80,SUCCESS,3,1,2,0,LARGE,PRODUCT,BOTH,NONE,GLOBAL,NO,NO,NO,YES
COMPANY81,SUCCESS,2,0,3,0,LARGE,SERVICE,PUBLIC,BOTH,GLOBAL,NO,NO,NO,YES
COMPANY82,SUCCESS,2,0,7,0,SMALL,PRODUCT,PRIVATE,BOTH,GLOBAL,NO,NO,NO,YES
COMPANY83,SUCCESS,5,2,5,0,SMALL,SERVICE,PUBLIC,BOTH,GLOBAL,NO,NO,YES,YES
COMPANY84,SUCCESS,2,0,2,0,SMALL,SERVICE,PUBLIC,BOTH,GLOBAL,NO,NO,NO,YES
COMPANY85,SUCCESS,4,0,2,0,SMALL,SERVICE,PUBLIC,BOTH,GLOBAL,NO,NO,NO,YES
COMPANY86,SUCCESS,2,0,1,0,LARGE,SERVICE,PUBLIC,BOTH,LOCAL,NO,NO,NO,YES
COMPANY87,SUCCESS,3,1,3,0,SMALL,SERVICE,PUBLIC,BOTH,LOCAL,NO,NO,NO,YES
COMPANY88,SUCCESS,2,3,5,0,MEDIUM,SERVICE,PUBLIC,BOTH,LOCAL,NO,NO,NO,NO
COMPANY89,SUCCESS,2,0,2,1,SMALL,SERVICE,PUBLIC,BOTH,LOCAL,NO,NO,NO,YES
COMPANY90,SUCCESS,2,0,4,0,SMALL,SERVICE,PUBLIC,BOTH,GLOBAL,NO,NO,NO,YES
COMPANY91,SUCCESS,0,0,6,0,SMALL,SERVICE,BOTH,BOTH,GLOBAL,YES,YES,NO,NO
COMPANY92,SUCCESS,0,0,12,0,LARGE,PRODUCT,BOTH,NONE,GLOBAL,NO,YES,NO,YES
COMPANY93,SUCCESS,3,2,8,0,SMALL,SERVICE,NO,CLOUD,LOCAL,NO,NO,NO,NO
COMPANY94,SUCCESS,2,2,12,0,LARGE,SERVICE,BOTH,PLATFORM,GLOBAL,YES,YES,NO,NO
COMPANY95,SUCCESS,0,0,2,0,LARGE,SERVICE,BOTH,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY96,SUCCESS,2,0,3,0,MEDIUM,PRODUCT,NO,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY97,SUCCESS,3,1,3,0,SMALL,SERVICE,BOTH,NONE,GLOBAL,NO,YES,NO,NO
COMPANY98,SUCCESS,4,0,4,0,SMALL,SERVICE,BOTH,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY99,SUCCESS,2,0,2,0,SMALL,PRODUCT,BOTH,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY100,SUCCESS,2,0,4,0,MEDIUM,PRODUCT,BOTH,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY101,SUCCESS,2,0,4,2,MEDIUM,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY102,SUCCESS,3,0,3,0,SMALL,PRODUCT,BOTH,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY103,SUCCESS,2,0,4,0,SMALL,PRODUCT,BOTH,PLATFORM,GLOBAL,NO,NO,NO,YES
COMPANY104,SUCCESS,1,0,1,0,MEDIUM,SERVICE,BOTH,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY105,SUCCESS,0,1,7,0,MEDIUM,SERVICE,BOTH,CLOUD,LOCAL,NO,YES,NO,NO
COMPANY106,SUCCESS,1,0,2,0,SMALL,SERVICE,NO,CLOUD,LOCAL,NO,NO,NO,NO
COMPANY107,SUCCESS,3,2,5,1,SMALL,SERVICE,PRIVATE,CLOUD,GLOBAL,NO,YES,NO,NO
COMPANY108,SUCCESS,2,0,2,2,LARGE,SERVICE,PRIVATE,CLOUD,GLOBAL,YES,NO,NO,NO
COMPANY109,SUCCESS,1,0,3,0,SMALL,PRODUCT,PUBLIC,CLOUD,GLOBAL,NO,YES,NO,NO
COMPANY110,SUCCESS,0,0,3,0,SMALL,SERVICE,PUBLIC,CLOUD,LOCAL,NO,YES,NO,NO
COMPANY111,SUCCESS,2,1,5,0,MEDIUM,BOTH,PRIVATE,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY112,SUCCESS,3,4,4,0,LARGE,BOTH,PUBLIC,CLOUD,GLOBAL,NO,NO,NO,NO
COMPANY113,SUCCESS,0,0,3,0,SMALL,PRODUCT,BOTH,PLATFORM,LOCAL,NO,YES,NO,YES
COMPANY114,SUCCESS,0,0,4,0,LARGE,PRODUCT,PUBLIC,PLATFORM,LOCAL,YES,YES,NO,NO
COMPANY115,SUCCESS,1,2,4,0,LARGE,BOTH,PUBLIC,PLATFORM,GLOBAL,YES,YES,NO,NO
COMPANY116,SUCCESS,0,0,3,0,LARGE,PRODUCT,PUBLIC,PLATFORM,GLOBAL,YES,YES,NO,NO
COMPANY117,SUCCESS,0,4,4,0,SMALL,PRODUCT,BOTH,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY118,SUCCESS,3,0,4,0,MEDIUM,SERVICE,PRIVATE,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY119,SUCCESS,2,7,5,3,SMALL,BOTH,PRIVATE,CLOUD,GLOBAL,NO,NO,NO,NO
COMPANY120,SUCCESS,2,1,8,0,SMALL,PRODUCT,PUBLIC,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY121,SUCCESS,0,0,7,0,MEDIUM,PRODUCT,PRIVATE,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY122,SUCCESS,1,0,4,0,SMALL,PRODUCT,PRIVATE,PLATFORM,LOCAL,NO,YES,NO,YES
COMPANY123,SUCCESS,0,4,2,0,LARGE,PRODUCT,PUBLIC,CLOUD,GLOBAL,NO,YES,NO,NO
COMPANY124,SUCCESS,3,7,7,1,MEDIUM,PRODUCT,PUBLIC,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY125,SUCCESS,2,0,4,1,LARGE,PRODUCT,PRIVATE,CLOUD,LOCAL,YES,NO,NO,NO
COMPANY126,SUCCESS,5,0,6,0,LARGE,PRODUCT,BOTH,PLATFORM,GLOBAL,NO,YES,NO,YES
COMPANY127,SUCCESS,1,7,9,2,LARGE,PRODUCT,BOTH,CLOUD,LOCAL,NO,YES,NO,NO
COMPANY128,SUCCESS,2,0,3,0,MEDIUM,BOTH,PUBLIC,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY129,SUCCESS,1,0,5,0,SMALL,PRODUCT,BOTH,CLOUD,GLOBAL,NO,NO,NO,NO
COMPANY130,SUCCESS,0,0,10,0,LARGE,BOTH,BOTH,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY131,SUCCESS,0,0,6,3,SMALL,PRODUCT,BOTH,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY132,SUCCESS,2,0,12,1,SMALL,PRODUCT,PRIVATE,CLOUD,GLOBAL,NO,YES,NO,NO
COMPANY133,SUCCESS,3,3,4,0,MEDIUM,PRODUCT,PUBLIC,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY134,SUCCESS,1,0,8,0,SMALL,PRODUCT,PUBLIC,PLATFORM,LOCAL,NO,YES,NO,YES
COMPANY135,SUCCESS,1,0,1,0,SMALL,PRODUCT,PRIVATE,CLOUD,LOCAL,NO,NO,NO,NO
COMPANY136,FAILED,3,1,5,0,MEDIUM,BOTH,PRIVATE,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY137,FAILED,0,0,8,0,LARGE,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY138,FAILED,1,0,6,0,MEDIUM,PRODUCT,PUBLIC,PLATFORM,GLOBAL,YES,NO,NO,NO
COMPANY139,FAILED,3,0,5,0,SMALL,PRODUCT,PUBLIC,PLATFORM,GLOBAL,NO,YES,NO,YES
COMPANY140,FAILED,0,0,5,1,SMALL,SERVICE,PUBLIC,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY142,FAILED,0,0,5,0,SMALL,PRODUCT,NO,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY143,FAILED,1,0,1,0,SMALL,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY145,FAILED,3,0,5,0,MEDIUM,PRODUCT,PUBLIC,CLOUD,LOCAL,NO,NO,NO,NO
COMPANY146,FAILED,0,0,1,0,SMALL,PRODUCT,PUBLIC,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY148,FAILED,1,0,1,0,MEDIUM,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY149,SUCCESS,2,0,6,1,SMALL,SERVICE,PRIVATE,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY150,FAILED,1,0,1,0,SMALL,SERVICE,PRIVATE,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY151,FAILED,3,2,6,0,SMALL,SERVICE,PRIVATE,PLATFORM,LOCAL,NO,NO,NO,YES
COMPANY152,SUCCESS,3,2,4,1,SMALL,SERVICE,PUBLIC,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY153,FAILED,2,0,2,1,SMALL,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY154,FAILED,2,0,2,0,SMALL,SERVICE,PRIVATE,PLATFORM,GLOBAL,YES,NO,NO,NO
COMPANY155,SUCCESS,2,0,3,0,LARGE,SERVICE,PRIVATE,CLOUD,GLOBAL,NO,YES,NO,NO
COMPANY156,SUCCESS,3,6,11,4,MEDIUM,PRODUCT,PUBLIC,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY157,SUCCESS,2,0,6,6,MEDIUM,PRODUCT,PRIVATE,BOTH,GLOBAL,NO,NO,NO,NO
COMPANY158,SUCCESS,2,0,3,0,SMALL,SERVICE,BOTH,PLATFORM,GLOBAL,NO,YES,NO,YES
COMPANY159,FAILED,2,1,2,0,SMALL,SERVICE,PRIVATE,PLATFORM,GLOBAL,YES,NO,NO,NO
COMPANY160,FAILED,2,0,3,0,MEDIUM,SERVICE,PUBLIC,PLATFORM,GLOBAL,NO,NO,NO,YES
COMPANY161,SUCCESS,1,6,5,0,MEDIUM,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,NO,NO,YES
COMPANY162,SUCCESS,4,1,4,4,SMALL,SERVICE,PRIVATE,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY163,SUCCESS,2,3,3,3,LARGE,PRODUCT,PRIVATE,BOTH,GLOBAL,NO,NO,NO,YES
COMPANY164,SUCCESS,2,0,2,0,SMALL,SERVICE,PRIVATE,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY165,SUCCESS,3,0,4,0,SMALL,SERVICE,PRIVATE,PLATFORM,LOCAL,NO,NO,NO,YES
COMPANY166,SUCCESS,2,0,6,3,LARGE,SERVICE,PRIVATE,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY167,SUCCESS,2,4,7,1,MEDIUM,SERVICE,PRIVATE,PLATFORM,GLOBAL,YES,NO,NO,YES
COMPANY168,SUCCESS,1,4,5,0,SMALL,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY169,SUCCESS,1,5,7,3,SMALL,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,NO,NO,YES
COMPANY170,FAILED,2,1,3,0,SMALL,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY171,SUCCESS,2,0,2,0,SMALL,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,NO,NO,YES
COMPANY172,FAILED,3,1,4,0,SMALL,PRODUCT,PRIVATE,PLATFORM,LOCAL,NO,NO,YES,NO
COMPANY173,SUCCESS,3,4,6,1,MEDIUM,PRODUCT,PRIVATE,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY174,SUCCESS,1,6,7,0,MEDIUM,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY175,SUCCESS,2,0,3,0,LARGE,PRODUCT,PRIVATE,PLATFORM,GLOBAL,YES,NO,NO,YES
COMPANY176,SUCCESS,1,1,2,0,SMALL,SERVICE,PRIVATE,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY177,SUCCESS,2,2,1,2,LARGE,SERVICE,PRIVATE,PLATFORM,GLOBAL,YES,YES,NO,NO
COMPANY178,SUCCESS,3,3,8,2,LARGE,SERVICE,PRIVATE,PLATFORM,GLOBAL,YES,YES,NO,YES
COMPANY179,SUCCESS,2,2,3,2,SMALL,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY180,SUCCESS,2,5,2,10,MEDIUM,SERVICE,PRIVATE,PLATFORM,GLOBAL,YES,YES,NO,NO
COMPANY181,SUCCESS,2,6,4,0,MEDIUM,SERVICE,PRIVATE,CLOUD,GLOBAL,NO,YES,NO,NO
COMPANY182,SUCCESS,3,0,3,0,MEDIUM,PRODUCT,PRIVATE,PLATFORM,GLOBAL,YES,YES,NO,NO
COMPANY183,SUCCESS,2,0,2,0,SMALL,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY184,SUCCESS,3,0,3,0,MEDIUM,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,YES,YES,YES
COMPANY185,SUCCESS,2,4,3,5,SMALL,PRODUCT,PRIVATE,CLOUD,GLOBAL,NO,YES,NO,NO
COMPANY186,SUCCESS,3,9,9,0,SMALL,PRODUCT,PRIVATE,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY187,SUCCESS,0,1,4,0,SMALL,SERVICE,PUBLIC,CLOUD,LOCAL,NO,NO,NO,NO
COMPANY188,SUCCESS,2,0,2,1,SMALL,SERVICE,PRIVATE,PLATFORM,LOCAL,NO,YES,NO,YES
COMPANY189,SUCCESS,2,1,4,0,MEDIUM,PRODUCT,PUBLIC,CLOUD,LOCAL,NO,YES,NO,NO
COMPANY190,SUCCESS,2,2,5,2,MEDIUM,PRODUCT,PRIVATE,CLOUD,GLOBAL,YES,YES,NO,NO
COMPANY191,SUCCESS,1,4,6,1,LARGE,PRODUCT,PRIVATE,PLATFORM,GLOBAL,YES,YES,NO,NO
COMPANY192,SUCCESS,2,0,2,1,MEDIUM,PRODUCT,PRIVATE,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY193,SUCCESS,2,8,2,1,MEDIUM,SERVICE,PRIVATE,CLOUD,GLOBAL,NO,YES,NO,NO
COMPANY194,SUCCESS,2,6,4,3,MEDIUM,PRODUCT,PRIVATE,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY195,SUCCESS,2,6,6,0,MEDIUM,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY196,SUCCESS,1,11,6,2,LARGE,PRODUCT,PRIVATE,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY197,SUCCESS,2,2,3,3,MEDIUM,PRODUCT,PRIVATE,CLOUD,GLOBAL,NO,NO,NO,NO
COMPANY198,SUCCESS,2,2,2,3,MEDIUM,SERVICE,PRIVATE,PLATFORM,GLOBAL,YES,YES,NO,YES
COMPANY199,SUCCESS,2,1,2,1,MEDIUM,SERVICE,PRIVATE,CLOUD,GLOBAL,YES,YES,NO,NO
COMPANY200,SUCCESS,2,0,6,3,MEDIUM,PRODUCT,PRIVATE,CLOUD,GLOBAL,YES,NO,NO,NO
COMPANY201,SUCCESS,2,1,10,6,MEDIUM,PRODUCT,PRIVATE,PLATFORM,GLOBAL,YES,YES,NO,YES
COMPANY202,SUCCESS,2,0,2,0,SMALL,PRODUCT,PRIVATE,CLOUD,GLOBAL,NO,YES,NO,YES
COMPANY203,SUCCESS,2,6,6,0,MEDIUM,PRODUCT,PRIVATE,CLOUD,LOCAL,NO,YES,NO,YES
COMPANY204,SUCCESS,0,0,5,0,MEDIUM,PRODUCT,PRIVATE,CLOUD,LOCAL,NO,YES,NO,NO
COMPANY205,SUCCESS,2,3,5,0,MEDIUM,SERVICE,PRIVATE,CLOUD,GLOBAL,YES,YES,NO,NO
COMPANY206,SUCCESS,2,3,4,2,MEDIUM,PRODUCT,PRIVATE,PLATFORM,GLOBAL,YES,YES,NO,NO
COMPANY207,SUCCESS,2,4,3,1,LARGE,SERVICE,PRIVATE,PLATFORM,GLOBAL,YES,YES,NO,NO
COMPANY208,SUCCESS,1,1,7,0,SMALL,PRODUCT,PRIVATE,PLATFORM,GLOBAL,YES,YES,NO,NO
COMPANY209,SUCCESS,2,2,4,4,MEDIUM,SERVICE,PRIVATE,PLATFORM,LOCAL,YES,YES,NO,YES
COMPANY210,SUCCESS,1,0,5,0,MEDIUM,PRODUCT,PRIVATE,PLATFORM,GLOBAL,YES,YES,NO,NO
COMPANY211,SUCCESS,1,0,6,2,SMALL,PRODUCT,PRIVATE,PLATFORM,LOCAL,YES,YES,NO,NO
